id,name,user_type_id,language_id,product_id,question,correct_answer_id,quiz_id,answer_option,question_id
1,Zomato Gold,3,1,1,What is Zomato Gold?,1,1,An exclusive dine out social drinking membership program that extends special perks like free dishes and drinks.,1
2,Zomato Gold,3,1,1,What is Zomato Gold?,1,1,An app.,1
3,Zomato Gold,3,1,1,What is Zomato Gold?,1,1,A restaurant booking tool.,1
4,Zomato Gold,3,1,1,What is Zomato Gold?,1,1,A colour.,1
5,Zomato Gold,3,1,1,What is a Visits Pack?,2,1,The Visits Pack lets you look around restaurant kichens for free.,2
6,Zomato Gold,3,1,1,What is a Visits Pack?,2,1,The Visits Pack gives you 3 Gold Visits that you can use at any of over 1200 partner restaurants any time you want.,2
7,Zomato Gold,3,1,1,What is a Visits Pack?,2,1,The Visits Pack lets a chef visit your house.,2
8,Zomato Gold,3,1,1,What is a Visits Pack?,2,1,Not sure.,2
9,Zomato Gold,3,1,1,Can I get the benefits on food and drinks at the same restaurant? ,3,1,Food partners offer 8 dishes.,3
10,Zomato Gold,3,1,1,Can I get the benefits on food and drinks at the same restaurant? ,3,1,Drink partners give complimentary drinks.,3
11,Zomato Gold,3,1,1,Can I get the benefits on food and drinks at the same restaurant? ,3,1,"Each partner restaurant offers only one of these benefits, IE our food partners offer 1 complimentary dish as a part of the meal, and our drinks partners offer upto 2 complimentary drinks per visit.",3
12,Zomato Gold,3,1,1,Can I get the benefits on food and drinks at the same restaurant? ,3,1,Food partners will deliver food to your house.,3
13,Zomato Gold,3,1,1,What does the benefits on drinks mean? ,4,1,Each Gold member gets free drinks all night.,4
14,Zomato Gold,3,1,1,What does the benefits on drinks mean? ,4,1,Gold Members get one drink for every meal they order.,4
15,Zomato Gold,3,1,1,What does the benefits on drinks mean? ,4,1,Gold members get 2 jars of sangria for free.,4
16,Zomato Gold,3,1,1,What does the benefits on drinks mean? ,4,1,Each Gold member gets one complimentary drink for every drink they order upto a maximum of 2 complimentary drinks.,4
17,Zomato Gold,3,1,1,Can I apply more than one discount on my subscription purchase? ,1,1,You can only use one promo code when purchasing Zomato Gold unless otherwise stated.,5
18,Zomato Gold,3,1,1,Can I apply more than one discount on my subscription purchase? ,1,1,You can use as many promo codes as you want.,5
19,Zomato Gold,3,1,1,Can I apply more than one discount on my subscription purchase? ,1,1,I am not sure.,5
20,Zomato Gold,3,1,1,Can I apply more than one discount on my subscription purchase? ,1,1,You can use up to 2 extra promo codes.,5
21,Zomato Gold,3,1,1,Can I combine Zomato Gold with other offers?,2,1,I am not sure.,6
22,Zomato Gold,3,1,1,Can I combine Zomato Gold with other offers?,2,1,"No Zomato Gold cannot be combined other promotions including Happy Hours, Loyalty Discounts, Bank offers or other special limited period offers.",6
23,Zomato Gold,3,1,1,Can I combine Zomato Gold with other offers?,2,1,Yes.,6
24,Zomato Gold,3,1,1,Can I combine Zomato Gold with other offers?,2,1,"Maybe, except for Christmas.",6
25,Zomato Gold,3,1,1,When should customers activate their Gold subscription? ,3,1,You must wear a Zomato Gold sticker at all times when in the restaurant to show you are a member.,7
26,Zomato Gold,3,1,1,When should customers activate their Gold subscription? ,3,1,"As soon as you get to the restaurant, let a staff member know that you are a Gold member and unlock your Gold Visit. Show the confirmation screen to the staff and then proceed with placing your food or drinks order.",7
27,Zomato Gold,3,1,1,When should customers activate their Gold subscription? ,3,1,Zomato Gold members must pay with a Zomato Gold credit card.,7
28,Zomato Gold,3,1,1,When should customers activate their Gold subscription? ,3,1,I am not sure.,7
29,Zomato Gold,3,1,1,Is Zomato Gold valid on deliveries or takeaway? ,4,1,Yes - you can takeaway with Zomato Gold.,8
30,Zomato Gold,3,1,1,Is Zomato Gold valid on deliveries or takeaway? ,4,1,Only at participating restaurants.,8
31,Zomato Gold,3,1,1,Is Zomato Gold valid on deliveries or takeaway? ,4,1,Zomato Gold is valid at all restaurants and bars.,8
32,Zomato Gold,3,1,1,Is Zomato Gold valid on deliveries or takeaway? ,4,1,No. Zomato Gold is valid only for dining out at our partner restaurants and bars.,8
33,Zomato Gold,3,1,1,Can the restaurant partners change after I purchase the membership? ,1,1,"Yes. Our restaurant partners may change over time. We keep adding new partners to the list, to expand the choices available to you.",9
34,Zomato Gold,3,1,1,Can the restaurant partners change after I purchase the membership? ,1,1,Restaurant partners are static and do not change.,9
35,Zomato Gold,3,1,1,Can the restaurant partners change after I purchase the membership? ,1,1,I am not sure.,9
36,Zomato Gold,3,1,1,Can the restaurant partners change after I purchase the membership? ,1,1,"Yes apart from McDonalds and Burger King, which will never be on Zomato Gold.",9
37,Zomato Gold,3,1,1,What does the benefits on food mean?,2,1,Each Gold member gets complimentary drinks.,10
38,Zomato Gold,3,1,1,What does the benefits on food mean?,2,1,"Each Gold member gets one complimentary drink for every drink they order, upto a maximum of 2 complimentary drinks.",10
39,Zomato Gold,3,1,1,What does the benefits on food mean?,2,1,"Only pitchers, buckets and non individual bottles are included.",10
40,Zomato Gold,3,1,1,What does the benefits on food mean?,2,1,I am not sure.,10
41,Zomato Gold - PT,3,2,1,O que é o Zomato Gold?,1,2,option 1,11
42,Zomato Gold - PT,3,2,1,O que é o Zomato Gold?,1,2,option 2,11
43,Zomato Gold - PT,3,2,1,O que é o Zomato Gold?,1,2,option 3,11
44,Zomato Gold - PT,3,2,1,O que é o Zomato Gold?,1,2,option 4,11
45,Zomato Gold - PT,3,2,1,O que é um pacote de visitas?,2,2,option 1,12
46,Zomato Gold - PT,3,2,1,O que é um pacote de visitas?,2,2,option 2,12
47,Zomato Gold - PT,3,2,1,O que é um pacote de visitas?,2,2,option 3,12
48,Zomato Gold - PT,3,2,1,O que é um pacote de visitas?,2,2,option 4,12
49,Zomato Gold - PT,3,2,1,Posso obter os benefícios de alimentos e bebidas no mesmo restaurante?,3,2,option 1,13
50,Zomato Gold - PT,3,2,1,Posso obter os benefícios de alimentos e bebidas no mesmo restaurante?,3,2,option 2,13
51,Zomato Gold - PT,3,2,1,Posso obter os benefícios de alimentos e bebidas no mesmo restaurante?,3,2,option 3,13
52,Zomato Gold - PT,3,2,1,Posso obter os benefícios de alimentos e bebidas no mesmo restaurante?,3,2,option 4,13
53,Zomato Gold - PT,3,2,1,O que significam os benefícios das bebidas?,4,2,option 1,14
